anio,trimestre,provincia,velocidad_promedio,total_accesos
2020,2,San Luis,15.479894736842105,113952
2020,2,Santa Cruz,20.06126923076923,38869
2020,2,Santa Fe,81.86737837837838,777932
2020,2,Santiago Del Estero,30.315142857142853,105447
2020,2,Tierra Del Fuego,12.701058823529412,39189
2020,2,Tucumán,50.46472,217156
2020,3,Buenos Aires,104.95066153846153,3936186
2020,3,Capital Federal,131.03805454545454,1372675
2020,3,Catamarca,56.6059,49904
2020,3,Chaco,43.49418518518518,133954
2020,3,Chubut,22.50404347826087,130027
2020,3,Corrientes,31.910899999999998,123391
2020,3,Córdoba,106.83602127659574,867472
2020,3,Entre Ríos,36.97566666666666,241495
2020,3,Formosa,31.8359,49209
2020,3,Jujuy,80.38408333333332,106728
2020,3,La Pampa,19.038192307692306,93735
2020,3,La Rioja,37.90786666666666,52616
2020,3,Mendoza,45.451482758620685,207788
2020,3,Misiones,100.80437037037036,143186
2020,3,Neuquén,29.821583333333333,129235
2020,3,Río Negro,38.728719999999996,131467
2020,3,Salta,50.226869565217385,180846
2020,3,San Juan,17.677047619047617,77327
2020,3,San Luis,15.479894736842105,116565
2020,3,Santa Cruz,20.06126923076923,39281
2020,3,Santa Fe,81.86737837837838,802998
2020,3,Santiago Del Estero,30.315142857142853,105492
2020,3,Tierra Del Fuego,20.487739130434782,39654
2020,3,Tucumán,46.31135714285714,223876
2020,4,Buenos Aires,95.84192753623188,4032150
2020,4,Capital Federal,132.81653703703702,1379523
2020,4,Catamarca,56.6059,52394
2020,4,Chaco,43.49418518518518,139083
2020,4,Chubut,23.274708333333333,130574
2020,4,Corrientes,31.200857142857142,125658
2020,4,Córdoba,108.19044230769231,902698
2020,4,Entre Ríos,131.1781,247358
2020,4,Formosa,32.272285714285715,50206
2020,4,Jujuy,75.39696296296296,105843
2020,4,La Pampa,17.734346153846154,96895
2020,4,La Rioja,51.42413333333333,52778
2020,4,Mendoza,81.59665625,215453
2020,4,Misiones,100.29448484848484,147158
2020,4,Neuquén,48.79684615384615,133135
2020,4,Río Negro,54.54684615384615,141210
2020,4,Salta,50.226869565217385,187390
2020,4,San Juan,25.946583333333333,72596
2020,4,San Luis,25.08515789473684,119420
2020,4,Santa Cruz,31.170111111111108,40674
2020,4,Santa Fe,124.6823953488372,820802
2020,4,Santiago Del Estero,30.315142857142853,106667
2020,4,Tierra Del Fuego,20.050749999999997,39613
2020,4,Tucumán,45.36958620689655,231088
2021,1,Buenos Aires,96.27275714285715,4058891
2021,1,Capital Federal,132.81653703703702,1379673
2021,1,Catamarca,56.7559,51966
2021,1,Chaco,43.49418518518518,139752
2021,1,Chubut,22.64372,132340
2021,1,Corrientes,31.200857142857142,126624
2021,1,Córdoba,116.70967307692308,910878
2021,1,Entre Ríos,133.96872413793102,251960
2021,1,Formosa,32.272285714285715,50686
2021,1,Jujuy,72.33530769230768,110448
2021,1,La Pampa,28.929370370370368,97105
2021,1,La Rioja,48.347625,52628
2021,1,Mendoza,130.63122857142858,218923
2021,1,Misiones,97.47765714285714,149384
2021,1,Neuquén,49.10871999999999,133235
2021,1,Río Negro,54.54684615384615,141168
2021,1,Salta,50.226869565217385,187574
2021,1,San Juan,25.946583333333333,78267
2021,1,San Luis,24.02942857142857,119139
2021,1,Santa Cruz,31.438407407407407,46065
2021,1,Santa Fe,124.6823953488372,826116
2021,1,Santiago Del Estero,52.209909090909086,111639
2021,1,Tierra Del Fuego,27.884083333333333,40421
2021,1,Tucumán,45.36958620689655,231911
2021,2,Buenos Aires,107.87798630136986,4131240
2021,2,Capital Federal,132.81653703703702,1400355
2021,2,Catamarca,40.85081818181818,55742
2021,2,Chaco,43.49418518518518,140711
2021,2,Chubut,23.545541666666665,139237
2021,2,Corrientes,27.821583333333333,129500
2021,2,Córdoba,106.88275,930877
2021,2,Entre Ríos,125.48687096774194,257629
2021,2,Formosa,31.214454545454544,51551
2021,2,Jujuy,60.4506923076923,111840
2021,2,La Pampa,28.039035714285713,97667
2021,2,La Rioja,42.80094736842105,81602
2021,2,Mendoza,97.85979999999999,229671
2021,2,Misiones,94.88105555555555,156173
2021,2,Neuquén,47.545111111111105,138250
2021,2,Río Negro,57.93635714285714,144084
2021,2,Salta,28.292086956521736,191639
2021,2,San Juan,27.031217391304345,78933
2021,2,San Luis,24.02942857142857,122803
2021,2,Santa Cruz,30.324749999999998,48982
2021,2,Santa Fe,114.63588372093022,840589
2021,2,Santiago Del Estero,49.27991666666666,114088
2021,2,Tierra Del Fuego,27.884083333333333,35692
2021,2,Tucumán,63.02475862068965,233050
2021,3,Buenos Aires,105.72124,4250498
2021,3,Capital Federal,136.1699423076923,1413404
2021,3,Catamarca,38.896272727272724,56252
2021,3,Chaco,43.49418518518518,139853
2021,3,Chubut,23.60372,156066
2021,3,Corrientes,27.950692307692307,133818
2021,3,Córdoba,106.88275,946785
2021,3,Entre Ríos,125.48687096774194,260372
2021,3,Formosa,31.422521739130435,52795
2021,3,Jujuy,60.4506923076923,111150
2021,3,La Pampa,27.141137931034482,100487
2021,3,La Rioja,40.90295238095238,82160
2021,3,Mendoza,107.64147222222222,255939
2021,3,Misiones,94.88105555555555,158525
2021,3,Neuquén,53.097071428571425,139809
2021,3,Río Negro,52.563629629629624,144585
2021,3,Salta,28.292086956521736,195833
2021,3,San Juan,27.031217391304345,79483
2021,3,San Luis,24.02942857142857,117849
2021,3,Santa Cruz,30.324749999999998,48976
2021,3,Santa Fe,114.63588372093022,841573
2021,3,Santiago Del Estero,49.27991666666666,115456
2021,3,Tierra Del Fuego,32.96872,50222
2021,3,Tucumán,84.79735483870967,232471
2021,4,Buenos Aires,98.21341891891892,4509157
2021,4,Capital Federal,136.1699423076923,1412118
2021,4,Catamarca,38.896272727272724,59090
2021,4,Chaco,26.049740740740738,143745
2021,4,Chubut,22.734346153846154,160308
2021,4,Corrientes,28.925749999999997,135912
2021,4,Córdoba,106.59250943396226,986770
2021,4,Entre Ríos,30.855296296296295,265046
2021,4,Formosa,31.422521739130435,53663
2021,4,Jujuy,59.628719999999994,113915
2021,4,La Pampa,34.14617857142857,107007
2021,4,La Rioja,40.90295238095238,83128
2021,4,Mendoza,88.70521621621621,267586
2021,4,Misiones,88.1348,171132
2021,4,Neuquén,36.10066666666666,147466
2021,4,Río Negro,54.58767741935483,153753
2021,4,Salta,28.292086956521736,199405
2021,4,San Juan,16.988249999999997,79958
2021,4,San Luis,11.79627272727273,118849
2021,4,Santa Cruz,18.416999999999998,48486
2021,4,Santa Fe,68.71297368421052,866441
2021,4,Santiago Del Estero,49.27991666666666,115861
2021,4,Tierra Del Fuego,31.59325925925926,52356
2021,4,Tucumán,53.49059999999999,238639
2022,1,Buenos Aires,101.49081818181818,4555424
2022,1,Capital Federal,133.60552830188678,1417541
2022,1,Catamarca,40.534190476190474,62378
2022,1,Chaco,26.049740740740738,144119
2022,1,Chubut,32.96760714285714,171628
2022,1,Corrientes,28.925749999999997,142578
2022,1,Córdoba,106.59250943396226,1003803
2022,1,Entre Ríos,30.855296296296295,267926
2022,1,Formosa,31.422521739130435,54548
2022,1,Jujuy,59.268719999999995,116509
2022,1,La Pampa,34.14617857142857,109732
2022,1,La Rioja,40.90295238095238,84303
2022,1,Mendoza,88.70521621621621,275185
2022,1,Misiones,35.157266666666665,171508
2022,1,Neuquén,36.10066666666666,149679
2022,1,Río Negro,106.28383333333333,157374
2022,1,Salta,28.292086956521736,197515
2022,1,San Juan,29.56607692307692,88178
2022,1,San Luis,15.635565217391305,119844
2022,1,Santa Cruz,18.574749999999998,49102
2022,1,Santa Fe,70.14860975609756,870479
2022,1,Santiago Del Estero,49.27991666666666,116461
2022,1,Tierra Del Fuego,30.507785714285713,52610
2022,1,Tucumán,105.446,245584
2022,2,Buenos Aires,112.71889873417722,4667183
2022,2,Capital Federal,133.60552830188678,1536771
2022,2,Catamarca,40.534190476190474,67008
2022,2,Chaco,61.690821428571425,143564
2022,2,Chubut,32.96760714285714,162805
2022,2,Corrientes,68.72872,144997
2022,2,Córdoba,106.59250943396226,1026435
